duration,timestamp,x,value_old,value
0,2011-12-26 6:30,1,0.0747,0.0747
1022,2011-12-26 6:47,3,0.0028,0.0028
180,2011-12-26 6:50,3,0.0054,0.0054
0,2011-12-26 6:50,1,0.1117,0.1117
60,2011-12-26 6:51,3,0.0567,0.0567
0,2011-12-26 6:51,1,0.1756,0.1756
782,2011-12-26 7:04,3,0.0032,0.0032
0,2011-12-26 7:04,1,0.0768,0.0768
120,2011-12-26 7:06,3,0.0867,0.0867
0,2011-12-26 7:06,1,0.0768,0.0768
241,2011-12-26 7:10,1,0.0747,0.0747
0,2011-12-26 7:10,3,0.0053,0.0053
601,2011-12-26 7:20,3,0.0049,0.0049
841,2011-12-26 7:34,3,0.0028,0.0028
481,2011-12-26 7:42,1,0.0747,0.0747
0,2011-12-26 7:42,3,0.0034,0.0034
661,2011-12-26 7:53,1,0.083,0.083
0,2011-12-26 7:53,3,0.0108,0.0108
361,2011-12-26 7:59,3,0.0103,0.0103
0,2011-12-26 7:59,1,0.0747,0.0747
721,2011-12-26 8:11,3,0.0032,0.0032
1443,2011-12-26 8:36,3,0.0741,0.0741
0,2011-12-26 8:36,1,0.0747,0.0747
661,2011-12-26 8:47,1,0.1319,0.1319
0,2011-12-26 8:47,3,0.0036,0.0036
60,2011-12-26 8:48,3,0.0052,0.0052
721,2011-12-26 9:00,3,0.0046,0.0046
1,2011-12-26 9:00,1,0.0789,0.0789
420,2011-12-26 9:07,1,0.0747,0.0747
0,2011-12-26 9:07,3,0.0335,0.0335
60,2011-12-26 9:08,3,0.009,0.009
1,2011-12-26 9:08,1,0.0747,0.0747
60,2011-12-26 9:09,3,0.004,0.004
1262,2011-12-26 9:30,3,0.003,0.003
180,2011-12-26 9:33,1,0.0747,0.0747
0,2011-12-26 9:33,3,0.0035,0.0035
902,2011-12-26 9:48,3,0.0057,0.0057
0,2011-12-26 9:48,1,0.0768,0.0768
481,2011-12-26 9:56,3,0.0055,0.0055
420,2011-12-26 10:03,1,0.0768,0.0768
0,2011-12-26 10:03,3,0.1088,0.1088
61,2011-12-26 10:04,3,0.0046,0.0046
120,2011-12-26 10:06,1,0.0924,0.0924
0,2011-12-26 10:06,3,0.0091,0.0091
60,2011-12-26 10:07,3,0.0046,0.0046
0,2011-12-26 10:07,1,0.0941,0.0941
65,2011-12-25 0:50,3,0.0059,0.0059
61,2011-12-25 0:51,3,0.0051,0.0051
120,2011-12-25 0:53,3,0.0036,0.0036
60,2011-12-25 0:54,1,0.0768,0.0768
61,2011-12-25 0:55,1,0.0747,0.0747
60,2011-12-25 0:56,1,0.0906,0.0906
0,2011-12-25 0:56,3,0.0028,0.0028
60,2011-12-25 0:57,3,0.0029,0.0029
0,2011-12-25 0:57,1,0.0747,0.0747
1442,2011-12-25 1:21,1,0.0747,0.0747
0,2011-12-25 1:21,3,0.0195,0.0195
841,2011-12-25 1:35,3,0.003,0.003
241,2011-12-25 1:39,3,0.0048,0.0048
1262,2011-12-25 2:00,3,0.0033,0.0033
180,2011-12-25 2:03,3,0.0044,0.0044
60,2011-12-25 2:04,3,0.0029,0.0029
60,2011-12-25 2:05,3,0.0104,0.0104
0,2011-12-25 2:05,1,0.1281,0.1281
902,2011-12-25 2:20,3,0.0031,0.0031
1322,2011-12-25 2:42,3,0.003,0.003
541,2011-12-25 2:51,3,0.0064,0.0064
0,2011-12-25 2:51,1,0.0768,0.0768
120,2011-12-25 2:53,3,0.0049,0.0049
1,2011-12-25 2:54,1,0.083,0.083
60,2011-12-25 2:55,3,0.003,0.003
120,2011-12-25 2:57,3,0.003,0.003
60,2011-12-25 2:58,1,0.0768,0.0768
0,2011-12-25 2:58,3,0.006,0.006
962,2011-12-25 3:14,3,0.0114,0.0114
120,2011-12-25 3:16,3,0.0113,0.0113
481,2011-12-25 3:24,3,0.0093,0.0093
0,2011-12-25 3:24,1,0.0768,0.0768
361,2011-12-25 3:30,1,0.0924,0.0924
0,2011-12-25 3:30,3,0.0113,0.0113
60,2011-12-25 3:31,3,0.0029,0.0029
421,2011-12-25 3:38,3,0.0028,0.0028
180,2011-12-25 3:41,1,0.1281,0.1281
0,2011-12-25 3:41,3,0.0035,0.0035
1323,2011-12-25 4:03,3,0.0062,0.0062
1141,2011-12-25 4:22,1,0.1293,0.1293
1142,2011-12-25 4:41,1,0.104,0.104
0,2011-12-25 4:41,3,0.0034,0.0034
1022,2011-12-25 4:58,3,0.0052,0.0052
0,2011-12-25 4:58,1,0.0768,0.0768
120,2011-12-25 5:00,3,0.0056,0.0056
0,2011-12-25 5:00,1,0.0924,0.0924
181,2011-12-25 5:03,3,0.0063,0.0063
0,2011-12-25 5:03,1,0.0924,0.0924
60,2011-12-25 5:04,1,0.0768,0.0768
841,2011-12-25 5:18,3,0.0054,0.0054
61,2011-12-25 5:19,1,0.085,0.085
0,2011-12-25 5:19,3,0.0113,0.0113
180,2011-12-25 5:22,1,0.0768,0.0768
120,2011-12-25 5:24,1,0.0924,0.0924
61,2011-12-25 5:25,1,0.0789,0.0789
541,2011-12-25 5:34,3,0.0042,0.0042
0,2011-12-25 5:34,1,0.0747,0.0747
300,2011-12-25 5:39,3,0.0029,0.0029
60,2011-12-25 5:40,3,0.0115,0.0115
1,2011-12-25 5:40,1,0.0747,0.0747
661,2011-12-25 5:51,3,0.004,0.004
60,2011-12-25 5:52,1,0.0768,0.0768
0,2011-12-25 5:52,3,0.1367,0.1367
60,2011-12-25 5:53,1,0.0768,0.0768
0,2011-12-25 5:53,3,0.0107,0.0107
61,2011-12-25 5:54,3,0.0049,0.0049
0,2011-12-25 5:54,1,0.0747,0.0747
